GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Italy,,7.4864188391,5.4874777698,4.8420524893,1.9555327097,2.4020461468,5.1641632807,6.4056776038,5.8735945959,5.4991795056,4.755009601,1.3442804432,3.1034897056,6.4018059376,4.8120138527,-2.6731839261,6.5923197472,2.1258274589,2.8729363944,5.6532240083,3.2171701116,0.7232324214,0.3392249576,1.1324911648,3.2027830363,2.7683814352,2.8543669105,3.1814302932,4.1440420857,3.3108619912,1.9671904637,1.4634656292,0.7045179267,-0.9134017125,2.1302154853,2.8852023279,1.1062653948,1.8121318312,1.4189786688,1.4340292318,3.6066478636,1.7998603445,0.1347626122,-0.8226330384,0.7327710232,0.187749693,1.6190090773,0.9401763215,-1.9110214696,-5.6193680505,1.0500971761,
Jamaica,,,,,,,,0.6366172266,4.5952315682,4.3597848054,10.6215423097,1.0187875919,16.1982152462,-6.9793878343,-5.6650919017,-1.6012485949,-7.825968211,-3.6230890587,-1.058204554,-2.1807341669,-6.9898409225,1.2486438196,0.3155763732,0.0580879009,-3.2308822629,-4.2539027981,0.805227148,7.171300443,3.7183815497,6.3384455692,3.5421970101,4.1392427389,1.2401573288,8.6111605306,0.6012378415,1.524638965,-1.3045800043,-2.0824186791,-3.2020965605,0.3603869773,0.2904618016,0.7457566464,0.4802491028,4.7043627103,0.916193983,0.5607738354,2.2205278948,0.9473446761,-0.9643625606,-3.3479603894,-0.8354404145,
Japan,,9.1611936282,7.8986624835,7.3755949348,10.5191408614,4.6885586236,9.6329580384,10.0510000753,12.5071650116,10.1764868136,3.1144052162,3.285453605,6.9054997223,7.1419824951,-3.0929240148,1.45411994,3.2088011913,3.3891852576,4.3236529387,4.599166639,2.0146451784,2.1757603166,2.0694110056,0.9216696842,2.4667891772,4.4419439576,2.3332691866,3.2857541163,6.3102386993,4.8607628196,4.8429560777,3.0041646396,0.5690700169,-0.0758740397,0.5205350483,1.4934241063,2.3744936001,1.2977587483,-2.2960509745,-0.3302421869,2.6817739337,-0.0354427187,0.0293908668,1.1967666279,2.7096818785,1.9245192387,2.0530472473,2.3510241358,-1.1136593769,-6.1802608846,4.0872777146,
Jordan,,,,,,,,,,,,,,,,,19.9187160819,2.6603711465,16.5451811603,5.05505961,14.5542446774,0.7244266381,3.1752395913,-2.0022199559,4.5780756317,-0.1708105642,3.1142241784,-0.7921541126,-5.2479922462,-16.5107432598,-2.6574816295,-8.9473170645,12.6886849024,-0.0015007638,0.9811136989,2.7909206521,-0.982063175,0.2013806895,-0.086014022,1.5553452076,1.7022774275,2.7004471657,3.2555876582,1.6361620803,5.9732369991,5.6937479561,5.4970916019,6.0919108184,5.2844970717,0.1110280936,0.8562321222,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.5545424151,-5.2343006857,-8.595741409,-11.3227101744,-6.5772529814,2.0337168292,3.3195857382,-0.1920036265,3.6829025362,10.1304990313,13.6931931471,9.7954702446,8.9329228435,8.8410193736,8.7291999507,9.5353279199,7.661443135,2.0490707955,-1.4378120681,5.7912461741,
Kenya,,-10.5982014129,6.063881463,5.3661729103,1.6362310372,-1.2592717942,11.0167615538,-0.0178120538,4.4072215939,4.3287900006,-7.9154911379,17.9292809529,12.9577675258,2.1217730034,0.3212557102,-2.7745544708,-1.5674487753,5.4500002329,2.9815360249,3.6321498424,1.6586850602,-0.1096837556,-2.2948289172,-2.4702936137,-2.0066856709,0.4946075471,3.326776742,2.1942265932,2.5184218161,1.1272011608,0.7182830167,-1.8798566442,-3.9773463653,-2.7688814636,-0.4352757782,1.4260711809,1.3174972863,-2.1395932665,0.6758901959,-0.2663184976,-1.9481432484,1.1188227759,-2.053781322,0.2608009895,2.3878874457,3.1934724088,3.6234505764,4.3096009949,-1.0334016377,0.0260812165,2.8138121538,
Kiribati,,,,,,,,,,,,-3.952556879,10.2687194521,18.9951456046,42.9740883708,3.5859015168,-27.793863315,-6.2015886022,-0.8151123531,-13.3290456579,-45.5680645218,-5.5061682129,4.4100749784,6.5006864692,-3.4666915545,-6.7232129366,-0.6576990567,-5.1451181589,15.7416254347,-10.4637562393,0.7207857377,-6.0413380187,1.6546156428,1.3075231131,3.6129448728,-2.5895596435,4.4306043928,3.7791851073,9.0964488476,-0.3737977747,5.3444255695,-4.8184905516,4.2450106941,2.5840963085,-0.9003993971,-1.4336364805,0.21493089,-1.1868939985,-2.6240937939,-2.1683774152,-0.208514,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,2.279617042,-0.2993058452,6.6944572874,4.868539675,2.6346941919,10.0472328341,3.6841313227,9.2293378325,11.6389495154,6.0564032203,6.0084959401,2.3644915544,9.8249097949,5.1039137398,3.9202130516,8.8204625104,8.2938983478,7.6485103142,5.1756135066,-3.0128154496,4.5207971349,5.6794043561,9.1539308055,6.7753027368,5.7556022347,9.6035484789,10.0592240331,9.5868652145,5.7243913201,7.9100700992,8.3844062875,4.9178819811,5.1870218628,7.5671993149,7.619522161,5.9832793118,3.6739953138,-7.5245709828,8.711273329,7.5838349006,3.2072405231,6.5537646354,2.293691783,4.2270175544,3.7433567399,4.8324230205,4.7609373531,1.9805811705,0.0313848706,5.88381326,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4245539713,-1.6156225202,4.7566462794,2.0865087967,3.2566031144,5.4034890264,5.8235854342,6.3044568245,2.3299168975,3.4269972452,
Kuwait,,,,-8.8783149957,-3.7916969375,-10.0703695579,1.5194311004,-6.7532211228,0.2342363801,-5.3635441889,-4.5632313074,-0.0330898609,-2.7063841712,-10.9775610708,-15.1280024131,-13.4015918394,3.0052657084,-5.428710841,1.8360226903,8.1827216854,-24.5499762844,-22.8794492802,-16.2712920002,5.5150297788,0.4437010714,-8.7710209982,3.0219467639,2.4769114285,-14.0789169211,22.5486874616,,,,,,,0.59221237,-0.620873548,-1.3268737382,-6.7346266272,0.1865005552,-2.7196199593,0.0028814155,14.1773611073,7.0442671222,6.959162355,1.2886450479,0.2635618714,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1897793322,10.6212600351,0.8476404028,4.4727147055,-9.3457634408,-14.8784718421,-15.4836571188,-20.0550690805,-6.3632997414,5.5111933928,8.3236534968,0.5671695559,2.1267471227,4.178333101,4.3269396578,-0.9309122735,5.9139822756,5.739501385,-1.2970408879,2.002381045,7.5106831808,7.3764405266,1.6535397021,-2.5310750412,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,2.2735260709,2.0655229443,-4.1135868776,-4.708366731,11.0232342616,3.7356999013,1.3958923441,2.6505030984,3.0621866354,5.366825943,4.4167840401,4.4697365571,4.5581586095,1.8506530713,5.2495191241,3.8857900085,3.9555842979,4.2271114899,4.4872584057,4.8074506033,5.4937627545,6.8991564822,5.8612852482,6.0055120673,5.9270920858,6.899195615,
Latvia,,,,,,,3.3593143299,10.838690519,5.8428114341,3.6963221522,7.2892466078,6.9577484877,4.2893156294,4.9054915769,3.946564388,6.050867277,4.985139443,2.6164488771,2.7532621764,2.7134925682,3.8442959532,3.9121973991,1.8787953106,4.602420797,5.0919383308,-1.0254638584,3.861823613,1.2982604817,4.0330465538,5.1496975184,-7.8120630539,-12.1807171746,-31.1775189816,-3.0907129343,3.9147913524,0.4776963533,4.9665878182,9.3675095742,5.7148984049,5.5547758629,7.7022318082,8.868112254,7.2185872379,7.8082262408,9.2662446795,11.1925915179,12.8495472986,10.5500882863,-3.8207374564,-17.5452844285,0.3612579213,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.8090128955,24.5813705674,34.6526395522,1.004439373,3.0794911787,4.3090318595,3.5175198359,2.8739433856,-3.8679998609,2.2616653751,-1.690304694,-0.0721342648,2.2977073173,1.6208914986,1.4819653693,5.7953707566,-0.3552835096,-0.5051582842,6.5281150448,8.4322176609,7.7225052955,6.2403430329,
Lesotho,,0.116052632,13.2800110145,8.5872597696,6.2200644695,0.20175287,-2.347863836,8.7041521911,-2.376704302,-0.5104306968,0.1042425194,2.9912678823,-2.2213742013,23.7879705629,8.5681447398,-15.5095066623,8.3397772473,18.7127645561,15.2263323838,0.1755112064,-5.3105739884,-1.956102884,-0.1259350294,-5.6631216372,7.7124790873,2.5957815392,-1.5804427319,-8.9888498828,6.778475493,4.8451108636,4.539202323,0.5114955908,5.4615684544,1.4662641187,3.7726270495,-0.0924632962,2.6874407916,1.4410769989,3.5057209953,-1.355503521,4.0710552059,2.8503622077,-0.0001932488,3.3834996573,1.3535221601,1.7724910361,3.316716756,3.7107097331,4.3406777916,1.8196452168,4.5482905959,
Liberia,,0.0215990226,-1.0788411191,-0.2041822328,2.5657311719,2.1757677717,4.9723295575,4.002788968,2.0391376528,4.4527900372,3.8033907901,2.0583251686,1.2840947665,-4.9714345774,1.7982071742,-6.2339878135,2.3135946346,-1.2630257825,1.8379587309,0.1969196624,-7.0932815184,-5.4036444568,-5.775309801,-4.986576317,-4.4885723766,-2.279800131,-2.1141798619,-0.6141360958,-1.0193420204,-25.6303576204,-50.2903511962,-12.7592491384,-33.9108785458,-32.1968120285,-22.1202240292,-6.7648714751,6.5646259808,92.5859697665,20.4951387179,15.1873443059,19.6815360774,-0.3209802929,1.7345368294,-32.2348004633,0.7651401232,2.3282110253,3.5325552398,4.2566075922,1.7935958573,-0.2506682146,1.3387381624,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7798054706,-6.0972456306,-3.1704040066,10.8226381513,2.3363960885,7.6730889374,3.6714192419,3.7241790833,1.6636639988,0.2569994541,,
Liechtenstein,,,,,,,,,,,,-0.3875733178,-0.1492422571,0.0155165268,0.0769000538,0.0713653636,3.0897964158,3.0902383128,3.0952948409,3.1171395755,3.1465559835,3.2303095934,-3.0668223986,-0.936489962,2.7892935874,5.5260458519,2.5975064456,7.792800495,4.2686384035,3.1479877569,0.9299984742,0.4701616276,2.2505243527,2.9688702294,5.4843607966,4.5341844965,5.5846834983,5.9334282418,6.4851863186,9.1187722677,2.016850171,-1.8858648055,-2.1333753516,-3.0333631418,1.9627549766,3.8280162344,7.7166978615,2.5319584912,1.067295887,-1.8510261568,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8359881976,-21.1734221345,-15.8287446068,-9.1376468059,4.0882006085,5.9854676415,8.2650108588,8.4113501532,-0.3688628757,3.9795329524,7.2950712887,7.2400168585,10.7211244549,7.932408661,8.4743423584,8.4873696092,10.4406051522,3.4639214543,-14.2653373146,2.9472833419,
Luxembourg,,2.8878467413,0.124677246,2.3699292327,6.6645770259,-1.8578415954,0.3806801936,-0.1123439624,3.9186432741,9.4352128601,1.2075937432,1.6927968726,5.312924795,7.1227673191,2.8622988458,-7.586475135,2.028099738,1.3935406438,3.888387577,2.1061434401,0.482546795,-0.8436679569,1.0482947715,2.9617536532,6.0778504575,2.5932460256,9.4915741407,3.2794672496,7.6791059382,8.7353117235,4.0098112467,7.1984086559,0.4760773071,2.8112186363,2.4166300552,0.017300174,0.1450684502,4.6193971996,5.1735140627,6.9630042819,6.9957606183,1.3039394407,3.019910633,0.3214341294,2.9249645701,3.8289582721,3.311100648,5.0043661215,-1.0312480432,-7.0364537908,0.8114343807,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,5.6464027387,3.9111777397,-3.565837075,2.2133908128,9.5439506318,3.533965606,1.2296272274,4.6174657848,0.9540730136,10.7835614445,3.2043863725,2.5134340888,1.6095581112,-1.9702436711,-1.8139944046,-6.0592188005,-3.9773175078,3.8460090722,0.9371953255,6.6966266121,10.1475377968,24.0325851748,5.9965717116,11.7140762416,11.6481229597,0.8644907141,-0.8232175919,23.3896444968,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.825591292,-7.1200700194,-7.9491635359,-2.2372623727,-1.5985369358,0.6823450615,0.9433869421,2.8905128573,3.8817453556,4.1372618304,-4.8560771108,0.5452824742,2.5343737012,4.3586571637,4.0925800885,4.7745254338,5.898463615,4.7147019321,-1.124760069,1.6403321359,
Madagascar,,-0.3580484769,-0.1667729667,-3.314083977,1.4382044226,-2.8893117451,-0.4519708792,2.906383791,4.1455130741,1.0779955842,2.5498609642,1.1982018227,-3.8976352377,-5.2340357285,-0.7556484388,-1.4999848761,-5.7313418312,-0.4637062787,-5.3357852564,6.8942796548,-1.8386792374,-11.9978627827,-4.2562147796,-1.5995482507,-0.8599229158,-1.4737979297,-0.7786941848,-1.6126604723,0.4872217177,1.0966851734,0.1408687414,-9.0514881757,-1.8051905454,-0.953658095,-3.0912660629,-1.3951887918,-1.0032136246,0.4718497357,0.698045658,1.4162596831,1.5410888409,2.7921456884,-15.3063319794,6.5028206211,2.1314710399,1.5146506541,1.9397561558,3.1424279449,4.026830449,-7.3182657701,-1.3264893673,
Malawi,,5.1820599783,-1.6864542811,-3.7415529494,0.1834308871,10.8474879934,10.4705966819,4.6182657427,-4.4220851395,3.0678905602,-2.3273626662,12.8173469742,3.0055309837,-0.8924312704,3.7737900482,2.689755419,1.5646525582,1.4185734362,6.119284632,1.1011395955,-2.5677233102,-7.7906443353,0.0340036685,1.0428006019,1.9406475581,0.2422736545,-5.330413449,-4.2176175402,-2.6692768674,-3.5216939017,1.9780142684,6.4293527093,-8.2712748329,9.2417273392,-10.7044412649,15.415638318,5.3212119919,1.2927409016,1.0245427204,0.1185220346,-1.1964602456,-7.4523587175,-0.9107186856,2.7911004126,2.7269188844,-0.1988706023,4.6576875726,2.7319379275,5.3764631817,4.3428818283,3.8030507349,
Malaysia,,4.1713280073,2.9829167596,3.8951330818,2.0876310065,4.5056529842,4.8099216696,1.1044813488,5.2289822242,2.2796181646,3.3782990392,3.1659622864,6.7273235239,9.0327992506,5.751484638,-1.5372604681,9.0177959831,5.31910408,4.2308314103,6.8204716287,4.889069214,4.3311222909,3.293401002,3.5210260059,4.9055618878,-3.8253311562,-1.6993946543,2.3498824092,6.7525978799,5.9491803841,5.9939983008,6.6222731258,6.0710743654,7.1216662603,6.4868935803,7.0974343187,7.2779275354,4.6896389625,-9.604412508,3.6068990167,6.3148150771,-1.7880474556,3.0235290717,3.4884352628,4.5707396357,3.2747994945,3.9137482775,4.650404651,3.0892742716,-3.2105337001,5.4894290415,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8288697647,8.2548631519,7.7667865866,5.3376330358,2.9909002115,1.7582123868,4.3598054119,14.3540506304,8.6224196223,-8.4481372598,19.7320924067,10.5998610581,10.4956319988,-7.7049392482,8.3796256517,
Mali,,,,,,,,,2.1733914451,-1.3203098744,4.4156216492,0.8244421148,3.9694948211,-3.2458514556,-3.3332888143,9.5851661601,11.5705632355,4.44234781,-3.24231918,8.3480844256,-6.1658804408,-6.3393106778,-6.6277493539,2.6231117781,2.3240327602,-12.9403855246,6.7125123267,-1.9589029923,0.0273580149,9.9958271974,-3.6580235132,-0.5454579233,5.7682491471,-4.6274765975,-1.7381320578,3.3952284657,0.4750899575,3.8933790762,3.137492382,3.7456963079,0.2251568879,8.7824565684,1.0110821313,4.1590185251,-0.9519872225,2.8243112711,2.0761587682,1.1162015311,1.8107571305,1.3472774608,1.3712074496,
Malta,,,,,,,,,,,,2.4496727569,5.904919169,9.8538364428,10.1107209595,18.6852700077,16.4231456933,11.7470803033,10.0100638899,9.376489642,5.9330534378,2.5548558415,0.1138354417,-2.0034166759,0.9213021414,0.7988506484,2.1637999141,3.3960622578,7.5277601508,7.1313104404,5.2565975005,5.1999460701,3.6670940156,3.4941064108,4.7216288373,5.627100835,3.1496937029,4.5419620106,4.4906992787,4.2109478788,4.4820940984,-4.5364854135,1.8579205497,-0.9601593447,0.227059299,3.3528850489,1.2166115259,3.8945961618,4.6282279403,-3.7767366923,2.6468790745,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,0.3052139381,10.3433216993,-0.8837574619,-10.5743312873,18.7516433143,4.3186555676,3.1059126903,-5.4434559515,-0.5502645995,-2.3508772759,5.1875727067,4.5847984166,4.7784549983,7.2733745815,-10.9679465293,-7.0030027245,-3.2801844126,-2.6782626921,5.7586807574,5.3916758366,2.7440099597,0.3126366007,-0.0092557836,2.4859011546,1.5449872617,2.5056475472,-2.6593355376,-2.284837959,3.9523522464,
Mauritania,,12.3185464162,-2.0801791997,-4.7176043333,24.1306731505,12.9031788172,-2.5550802739,0.692147725,7.1298176298,-1.5892951292,8.8164481041,-1.0673018197,-3.5898910875,-7.3440856825,8.9136234378,-7.8804291563,5.4102252388,-4.7063015916,-3.3626559882,1.7917992055,0.4277040357,0.5148094539,-5.0985556736,0.8333809029,-5.8911106072,0.213351228,2.9164436569,-0.7535503388,-0.9122630939,2.0503158604,-4.3628454972,-0.9376383885,-0.8875480448,2.9734996895,-5.7362427488,6.7725151924,2.8734029774,-6.722959938,1.5900365927,4.6747069324,-3.2562272575,-0.9019613857,-2.209800153,2.9755106439,2.803551866,6.0112324239,15.7279633364,-1.0017675581,0.9227755327,-3.6293019031,2.6818134104,
Mauritius,,,,,,,,,,,,,,,,,,4.8278318086,2.1614149361,1.8862332119,-11.418793576,4.4621599909,4.2597006394,-0.6242784188,3.8238913264,6.242164785,8.8124155034,8.0391094599,5.9622631911,3.6604047907,6.1891498271,3.3141663854,5.1204444691,3.8436279737,2.6883285581,3.3947764121,4.5134325663,4.372417178,4.9612210774,1.3145977893,7.9604824008,1.4615625368,1.2429593625,2.5874914504,4.8391077033,0.437891599,3.1639161759,5.2280024806,4.8378427432,2.510203094,3.6762569423,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,1.6549830294,1.3874867466,4.788208565,8.5399329624,3.4243610897,3.0403112055,2.8682521241,6.356718768,0.4899439524,3.4264551658,0.7071624323,5.0078365435,4.6494603331,2.6654988804,2.7025301061,1.477548058,0.5447936201,6.0639525109,6.9356718187,6.6541835352,6.3873832621,-2.663245362,-6.0732544726,1.5983423303,0.5706682451,-5.6926254981,-0.2205070312,-0.8183530307,2.1105020548,3.0242521912,2.2606531938,1.7347974013,0.1355509778,2.6365392941,-7.8252713094,3.3636170597,5.0045903525,3.2187669189,2.2792524045,5.0599989408,-1.5068357335,-0.4549502095,0.1142550784,2.7936321205,1.9379051495,3.8323025437,1.9503633891,-0.0958334807,-7.4174388475,4.2263933369,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1459855813,0.3172057096,1.2542808995,1.3563255623,4.7837859589,1.3748107384,5.5710380748,-2.4566275057,5.9625597203,-3.7010627564,-5.9864868508,3.0493438422,1.976380129,4.6110976797,1.4756711195,0.094368632,1.1931986717,-3.775887408,1.6349778162,-0.1839812912,-2.4053816439,-2.6450933372,0.3878755488,2.8240219676,
Moldova,,,,,,,,,,,,,,,,,,,,,,-1.6377649626,10.6019912251,3.2837809115,2.3049746818,-6.192868135,6.9499332094,0.3662880532,0.9420690826,4.4045432781,-2.7961038961,-16.2266594711,-29.1573469938,-1.0933333333,-30.6942338928,-0.8929011164,-5.0099992693,1.8246793209,-6.323790213,-3.2471139696,2.3078980093,6.337474955,8.0499622004,6.9006624375,7.6763578521,7.7630876397,5.0670207269,3.3162122533,7.970016079,-5.8708277349,7.0546350687,
Monaco,,,,,,,,,,,,4.003150614,3.2950615631,5.1549823138,3.2285681832,-1.9608245088,3.637019011,2.9802431352,3.4057225382,2.7918660436,0.6092557979,-0.5308672621,0.6408686606,-0.7545565283,-0.4905258253,-0.1769731206,0.6775493003,0.8008568695,2.962831414,2.6001951811,1.1517752847,-0.3841859562,0.0414776201,-2.1742940417,0.8976845925,0.7561665966,-0.3114930984,0.7657100718,2.0909311801,2.1264020485,3.0641826504,1.7186063801,0.8749899646,1.1390479764,2.5895636448,1.9589900491,5.0284953948,14.4915425192,9.8723681232,-2.7414132306,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,5.6525190266,3.1976842872,3.2179762395,2.9011103718,6.3293196312,0.5143039123,2.227978391,1.6476378694,-5.1142331605,-10.0844240708,-10.2796904166,-3.9948196054,1.3696591053,5.5571535153,1.3892931398,2.9998051557,2.4109710883,2.1225759617,0.201994918,1.9738940503,3.6963198172,5.8711982035,9.3369931624,5.8694057273,7.0101502193,8.5523576933,7.1463098741,-2.8773731115,4.6538635593,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42900491,-8.8840684674,3.6024569795,1.4700429479,2.1763938249,2.6787011952,4.4979199632,4.2287625311,8.5419829239,10.5434593176,6.6922094456,-5.8869740735,2.2461827532,
Morocco,,-5.0686512741,9.4981492762,2.0515460993,-1.4584613488,-0.8986527286,-4.2526551791,6.9090620468,6.7958917675,5.3935603404,1.9623332052,2.9491066158,-0.0349224627,1.1155650286,3.105209857,4.9834017701,8.1240487067,3.4629131609,-0.3045961219,2.1443476576,0.9722200231,-5.317399751,6.7095747624,-3.178227484,1.6659014385,3.7253410888,5.7847465133,-4.6965676431,8.0964496089,0.3177596947,2.0453388749,4.9495417863,-5.6947485556,-2.648440868,8.6120308633,-7.9989296062,10.5768740396,-3.6023322902,6.1990195074,-0.7808661413,0.3162987768,6.2474786471,2.1031086046,5.1052846314,3.6383436947,1.860926425,6.6161563334,1.6371937979,4.501806663,3.6845768445,2.6117496349,
Mozambique,,,,,,,,,,,,,,,,,,,,,,2.5007420946,-9.0176771083,-17.398146192,-7.9613523821,-0.0279027143,-2.6608634712,14.8648432169,8.4351495892,6.1665836142,-0.2598048584,2.476744368,-8.0920852501,4.730989607,2.9215632232,-0.677173967,4.2627125395,7.2999873809,8.0077973646,5.4326830296,-1.4898777263,8.9606554877,5.9346722664,3.2228039325,5.0847737338,5.6546897862,6.0234399449,4.7221640022,4.3360202747,3.9982376994,4.7646104602,
Myanmar,,-1.6388480541,1.9019761878,10.9588933151,-7.9021036345,8.2916770305,-6.9436903823,-8.0168074721,9.5296417387,0.9129357933,2.5109363942,1.6306206991,-0.0561149058,-3.3758323845,2.826199119,1.7382973328,3.704922368,3.6558642884,4.277433291,3.0425571737,5.7695269052,4.2645811765,3.5772609378,2.4351620347,3.0123859157,1.0126051415,-2.7867284265,-5.6448817277,-12.8246783708,2.0308187571,1.2284307593,-2.1152891878,8.116868205,4.5883072191,6.0121717974,5.4744481201,4.9414615162,4.1497491118,4.4202167821,9.5883545246,12.5796375848,10.4443111629,11.324546335,13.261949721,13.0830163584,12.8770113842,12.4105175856,11.2501387647,9.4747966601,9.7658739296,9.5838157062,
Namibia,,,,,,,,,,,,,,,,,,,,,,-1.234959092,-2.4870062323,-4.0573174148,-2.9714872336,-2.7191063613,0.7424449471,-0.8220331061,-3.4994016304,-2.4072517214,-1.426092708,4.4542029151,3.8369151525,-4.8722164927,4.2510222342,1.1194748408,0.1847954227,1.1896875024,0.3874241121,0.66629533,1.042674437,-0.938963963,2.8219198731,2.4261474797,10.3488753039,0.7234398764,5.1170614286,3.4058070171,2.3358388527,-2.5449138701,2.921495576,
Nepal,,0.0872071158,0.0503813562,-0.0094977186,5.4681396908,-3.1532409407,4.8698794736,-3.6176971958,-1.463991961,2.2014889862,0.3193735212,-3.4008312771,0.7859754807,-2.7498672565,3.8877225189,-0.8879863473,1.977600578,0.6209595058,1.9724233253,-0.0201099505,-4.600824344,5.8093084345,1.3512533606,-5.2483064332,7.1142239406,3.6609799836,2.1211475211,-0.6817663923,5.1692419836,1.8596358588,2.1296550156,3.7946118584,1.5683319477,1.3042792519,5.5562989674,0.9255804447,2.7451896153,2.4839247316,0.5212404596,1.913170302,3.6963797702,2.3682498501,-2.1607609991,1.6351891238,2.4322772085,1.3396890983,1.3157173371,1.442840614,4.1535566545,2.5403323377,2.7167239282,
Netherlands,,-1.0149975725,5.3323368741,2.2366313369,6.836068175,7.1619820145,1.4088703878,4.0937741009,5.3166716126,5.2041369939,4.3933866299,3.0974933863,1.4752337628,4.9126923534,3.4420915546,-0.7655008545,3.9682971199,1.3170260471,1.7030765466,1.32010426,2.4371704406,-1.4619529289,-1.6925902647,1.6836187226,2.6534038501,2.1029348513,2.218131474,1.2865150162,2.7750434722,3.7957037343,3.4681826205,1.6349591894,0.9400208301,0.5543134646,2.3421600276,2.6079161304,2.9305061055,3.7430329127,3.2846014478,3.9900268999,3.2007459642,1.1593758969,-0.5604311698,-0.1366788061,1.881884298,1.8083002584,3.2282563278,3.6948262616,1.4085136566,-4.0315221606,1.1656278252,
New Caledonia,,,,,,,-6.2295321882,2.4722675151,10.6676136567,11.6421719956,25.9533911688,1.7160107347,-1.3992041649,-14.9076225725,8.6261998413,3.291355385,-0.1058729682,0.2522518251,8.5715721701,-14.4592736655,-1.5043705555,-7.6458327065,2.0456672548,-2.6066000605,-1.7254482356,2.8717129089,-1.6428606171,3.8450607541,32.1056802762,7.9650695399,1.2566679121,2.3611092608,-2.0718964093,-2.2210903675,-0.3788104171,2.7073458422,-1.5897123536,-0.3410280116,-4.7860226812,-1.1321643725,0.1771428567,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,0.1972130345,2.3341756671,0.5842985425,3.4514203053,-0.5445842548,1.5190467798,4.0179102143,0.2049068562,2.0872775978,0.6583518304,-1.4914093211,-0.8775875539,-1.4148715399,-2.624420323,0.0731263047,5.1674480618,3.8942772806,2.8143617469,1.9731972991,0.4380112826,-0.4578461064,4.6231846958,2.0168601768,2.9822568934,3.1060657711,2.306032535,2.2271417987,2.1431535226,-0.4506046366,1.9153010521,-2.4773025267,-1.5523087875,,
Nicaragua,,4.1199172706,8.3568614908,6.7029659824,7.8481046305,5.7910174639,0.2442355743,3.7978180263,-1.6711487828,3.0654987459,-1.6848525538,0.199692473,-0.8552599941,3.2122805285,10.7520512109,-3.1585663269,2.0505824194,5.1343424563,-10.556726273,-28.6067202788,1.6563820355,2.4530299343,-3.4935064249,1.8798224031,-4.0260476191,-6.3588737462,-3.2268519773,-2.8053181939,-14.2606214882,-3.7762418919,-2.306302699,-2.5179767685,-2.0314161764,-2.7951210597,0.9311566493,3.5995013067,4.1844693518,1.9921888625,1.8727946567,5.2604152764,2.4815283372,1.4622890516,-0.6182884338,1.1917406041,3.9803347295,2.9690287357,4.2944902944,3.5303256089,2.2698528819,-4.5062565073,6.1059466582,
Niger,,1.5881152602,7.1006973449,6.2333474262,-2.8109963544,3.7730152597,-3.3166088085,-2.8298695073,-2.57707955,-8.2705854545,0.0249241466,2.5814158736,-7.9361865261,-19.465226853,5.6054843167,-5.6275654904,-2.2637681777,4.6146775158,10.175480941,4.0757885171,-4.9852092826,-2.1769529414,-1.1580362378,-7.3394158212,-19.0833072964,4.7852899182,3.4450057277,-2.6908314696,3.8925400332,-1.9849380813,-4.2348742504,-0.6608814999,-9.4846172131,-1.8461478574,0.5685990276,-0.8255198227,-0.0788743204,-0.7567065528,6.629427377,-3.9849348428,-4.7872182645,3.4510821224,-0.5031808111,1.7187828975,-3.3195704452,0.9056070148,2.1351287186,-0.199913837,4.9060709382,-4.6462606406,5.0197540353,
